sensor_id,description,unit,info_province,info_municipality,Date,Reading,Temperature
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,02/05/2024 18:00,98,
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,29/04/2024 06:00,97,13.2
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,15/09/2023 12:00,96,24.3
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,29/08/2023 00:00,91,22.7
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,27/08/2023 00:00,92,25.5
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,25/08/2023 18:00,93,28.6
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,25/08/2023 00:00,94,26.2
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,24/08/2023 12:00,95,31.1
080581-002-ANA006,Absolute level,masl,BARCELONA,CASTELLET I LA GORNAL,07/03/2023 00:00,99,7.8
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,02/05/2024 18:00,771,
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,30/04/2024 18:00,770,13.6
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,29/04/2024 12:00,769,10.2
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,14/04/2024 06:00,768,11.1
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,05/04/2024 18:00,767,19.7
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,01/04/2024 12:00,766,9.2
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,29/03/2024 06:00,765,8.6
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,20/03/2024 12:00,764,16.9
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,11/09/2023 00:00,772,18.9
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,24/08/2023 00:00,773,25.3
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,01/08/2023 00:00,774,20.6
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,28/06/2023 00:00,,20.5
081419-003-ANA005,Absolute level,masl,LLEIDA,NAVÈS,01/02/2023 00:00,775,1.1
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,02/05/2024 18:00,603,
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,02/05/2024 06:00,602,
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,01/05/2024 06:00,601,6.3
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,30/04/2024 18:00,600,15.1
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,30/04/2024 06:00,599,8.8
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,30/04/2024 00:00,598,7.4
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,29/04/2024 18:00,597,10
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,29/04/2024 12:00,596,11.2
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,10/04/2024 18:00,595,16.3
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,04/04/2024 12:00,594,18
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,01/04/2024 06:00,593,1.3
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,29/03/2024 00:00,592,10.3
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,21/03/2024 06:00,591,7.6
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,10/03/2024 18:00,590,10.6
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,26/07/2023 12:00,604,21
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,17/07/2023 12:00,483,29.1
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,28/06/2023 18:00,482,21.9
082687-001-ANA015,Absolute level,masl,BARCELONA,CERCS,18/06/2023 12:00,481,26.4
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,02/05/2024 18:00,383,
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,02/05/2024 12:00,382,
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,01/05/2024 18:00,381,16.5
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,01/05/2024 06:00,380,10.3
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,01/05/2024 00:00,379,11.7
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,30/04/2024 18:00,378,15.6
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,30/04/2024 12:00,376,14.6
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,30/04/2024 06:00,375,10.9
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,30/04/2024 00:00,374,12
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,29/04/2024 12:00,373,12.3
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,22/04/2024 00:00,377,11.5
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,09/03/2024 18:00,372,7.3
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,09/03/2024 06:00,371,5.1
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,20/02/2024 06:00,364,7.6
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,14/12/2023 12:00,384,8.7
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,08/12/2023 12:00,385,8.7
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,30/11/2023 18:00,386,15.4
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,25/11/2023 12:00,387,11.2
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,19/11/2023 18:00,388,18.7
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,08/11/2023 00:00,389,7.2
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,24/09/2023 12:00,390,20.2
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,07/09/2023 12:00,391,25.9
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,10/08/2023 18:00,392,31.4
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,04/08/2023 06:00,393,15.6
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,31/07/2023 00:00,394,21.9
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,26/07/2023 18:00,395,28.5
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,22/07/2023 06:00,396,18.9
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,17/07/2023 00:00,397,23.2
083036-001-ANA023,Absolute level,masl,BARCELONA,VILANOVA DE SAU,10/07/2023 06:00,398,22.3
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,02/05/2024 18:00,134,
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,30/04/2024 18:00,133,15.3
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,29/04/2024 18:00,132,13.9
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,19/10/2023 00:00,135,17.8
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,09/09/2023 12:00,136,26.2
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,13/08/2023 06:00,137,22.8
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,01/08/2023 18:00,138,28.6
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,18/07/2023 06:00,139,22.9
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,03/07/2023 06:00,140,20.1
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,09/06/2023 18:00,141,25.2
170600-001-ANA021,Absolute level,masl,GIRONA,DARNIUS,03/04/2023 18:00,142,15
171899-003-ANA007,Absolute level,masl,GIRONA,"CELLERA DE TER, LA",02/05/2024 18:00,188,
171899-003-ANA007,Absolute level,masl,GIRONA,"CELLERA DE TER, LA",27/04/2024 06:00,187,12.3
171899-003-ANA007,Absolute level,masl,GIRONA,"CELLERA DE TER, LA",20/01/2023 06:00,189,2.9
250753-004-ANA010,Absolute level,masl,LLEIDA,CLARIANA DE CARDENER,02/05/2024 18:00,514,
250753-004-ANA010,Absolute level,masl,LLEIDA,CLARIANA DE CARDENER,29/04/2024 06:00,513,9.8
250753-004-ANA010,Absolute level,masl,LLEIDA,CLARIANA DE CARDENER,19/03/2024 00:00,512,11.5
250753-004-ANA010,Absolute level,masl,LLEIDA,CLARIANA DE CARDENER,10/03/2024 00:00,511,2.5
250753-004-ANA010,Absolute level,masl,LLEIDA,CLARIANA DE CARDENER,08/09/2023 12:00,515,24.8
250753-004-ANA010,Absolute level,masl,LLEIDA,CLARIANA DE CARDENER,07/08/2023 06:00,516,17
250753-004-ANA010,Absolute level,masl,LLEIDA,CLARIANA DE CARDENER,18/02/2023 18:00,517,16.9
250753-004-ANA010,Absolute level,masl,LLEIDA,CLARIANA DE CARDENER,01/02/2023 06:00,518,0.1
430430-001-ANA002,Absolute level,masl,TARRAGONA,"CATLLAR, EL",02/05/2024 18:00,78,
430430-001-ANA002,Absolute level,masl,TARRAGONA,"CATLLAR, EL",14/07/2023 06:00,79,23.7
430430-001-ANA002,Absolute level,masl,TARRAGONA,"CATLLAR, EL",27/01/2023 18:00,80,11.4
430496-001-ANA001,Absolute level,masl,TARRAGONA,CORNUDELLA DE MONTSANT,02/05/2024 18:00,453,
430496-001-ANA001,Absolute level,masl,TARRAGONA,CORNUDELLA DE MONTSANT,28/04/2024 06:00,452,10.2
430496-001-ANA001,Absolute level,masl,TARRAGONA,CORNUDELLA DE MONTSANT,12/02/2024 00:00,454,4.4
430496-001-ANA001,Absolute level,masl,TARRAGONA,CORNUDELLA DE MONTSANT,22/11/2023 18:00,455,14.6
430496-001-ANA001,Absolute level,masl,TARRAGONA,CORNUDELLA DE MONTSANT,07/09/2023 18:00,456,25.3
430496-001-ANA001,Absolute level,masl,TARRAGONA,CORNUDELLA DE MONTSANT,01/08/2023 18:00,457,32.5
430496-001-ANA001,Absolute level,masl,TARRAGONA,CORNUDELLA DE MONTSANT,19/05/2023 06:00,458,10.2
430496-001-ANA001,Absolute level,masl,TARRAGONA,CORNUDELLA DE MONTSANT,22/02/2023 00:00,444,8.9
430537-001-ANA006,Absolute level,masl,TARRAGONA,RIUDECANYES,02/05/2024 18:00,194,
430537-001-ANA006,Absolute level,masl,TARRAGONA,RIUDECANYES,09/01/2024 06:00,195,1.1
430537-001-ANA006,Absolute level,masl,TARRAGONA,RIUDECANYES,24/10/2023 18:00,196,19.4
430537-001-ANA006,Absolute level,masl,TARRAGONA,RIUDECANYES,24/07/2023 12:00,197,33
430537-001-ANA006,Absolute level,masl,TARRAGONA,RIUDECANYES,08/06/2023 12:00,198,23.5
430537-001-ANA006,Absolute level,masl,TARRAGONA,RIUDECANYES,17/03/2023 06:00,199,9.2
430537-001-ANA006,Absolute level,masl,TARRAGONA,RIUDECANYES,01/02/2023 06:00,200,4.3
CALC000004,Reservoir volume,hm³,BARCELONA,CASTELLET I LA GORNAL,02/05/2024 18:00,2,
CALC000004,Reservoir volume,hm³,BARCELONA,CASTELLET I LA GORNAL,10/01/2024 12:00,1,8.7
CALC000004,Reservoir volume,hm³,BARCELONA,CASTELLET I LA GORNAL,29/08/2023 00:00,0,22.7
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,02/05/2024 18:00,9,
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,01/05/2024 18:00,8,13.3
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,30/04/2024 06:00,7,12.1
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,29/04/2024 00:00,6,12.4
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,27/09/2023 18:00,10,25.8
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,20/08/2023 18:00,11,35.6
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,08/08/2023 18:00,12,26.9
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,29/07/2023 00:00,13,23.6
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,18/07/2023 06:00,14,22.9
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,07/07/2023 00:00,15,21.3
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,26/06/2023 12:00,16,32.9
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,24/05/2023 00:00,17,17.6
CALC000005,Reservoir volume,hm³,GIRONA,DARNIUS,17/04/2023 00:00,18,13.5
